name,lat,lon
3,36.0684717,-115.1743346
2,36.060033,-115.178779
2,36.1151619741,-115.124811416
1,36.175,-115.136389
3,36.0319990399,-115.377322957
3,36.0873867,-115.2969433
3,36.0794089,-115.2980311
3,36.077271,-115.188922
3,36.0744294,-115.1819622
1,36.218884,-115.292938
3,36.142796,-115.221713
3,36.1481287,-115.2426539
2,36.0993459,-115.167874
3,36.1265262,-115.2017756
3,36.1260199,-115.1936341
2,36.1269391,-115.2416392
2,36.125908,-115.197904
3,36.1517161,-115.1617144
1,36.147132,-115.119465
3,36.157312,-115.1151063
2,36.158352,-115.14703
3,36.0727687,-115.0997043
3,36.099414,-115.2087414
2,36.1153219,-115.2235825
2,36.1176493,-115.188279
3,36.1186984,-115.1864851
1,36.2816342,-115.2667174
2,36.1745759179,-115.292351246
2,36.1831362174,-115.160473593
2,36.1242687,-115.3254095
3,36.1744373,-115.2610247
1,36.1990616,-115.2822508
3,36.1988542,-115.2659777
2,36.04577,-115.243934
3,36.2111865,-115.2487557
2,36.14287,-115.291453
2,36.0205723541,-115.118694305
2,36.011634058,-115.174586075
3,36.1323912,-115.1867608
3,36.131438988,-115.192003041
3,36.1232761,-115.2796896
3,36.1080747,-115.1363806
3,36.051627,-115.24387
3,36.030755,-115.2209648
1,36.0547426,-115.2417511
3,36.0487594861,-115.224878296
3,36.161073,-115.287009
2,36.2371812,-115.2311905
3,36.1638579,-115.1594148
3,36.0670133,-115.2520303
3,36.1603811,-115.1416441
2,36.100396,-115.187333
3,36.057517,-115.1552512
2,36.075305,-115.091143
3,36.1088082,-115.173583
2,36.1133346,-115.2973924
2,36.0957458,-115.2967171
3,36.11475,-115.1941
3,36.1149052,-115.2097436
3,36.1284289,-115.314551
3,36.2372667,-115.2312379
2,36.238728,-115.233116
3,36.0161124197,-115.119578791
2,36.0281627,-115.1215575
3,36.0251854615,-115.119181945
2,36.0422989,-115.1360032
2,36.1954516,-115.250136
3,36.1265042,-115.2099776
2,36.125587,-115.211199
1,36.1273515,-115.2250125
2,36.0848042,-115.3030607
3,36.0696629,-115.2987744
2,36.1523324,-115.2428249
3,36.1282092,-115.2253496
2,36.1477333425,-115.243336558
2,36.1697096,-115.1236952
2,36.0772861605,-115.298175927
2,36.2218275,-115.2777517
2,36.1595287253,-115.232730303
3,36.1044902,-115.1675367
2,36.1250739238,-115.206622348
3,36.095978,-115.100573
2,36.072698472,-115.092840493
3,36.087483,-115.243782
2,36.0911943252,-115.24218442
1,36.13,-115.24
3,36.0125120527,-115.119699971
2,36.2189518,-115.2134263
3,36.1139123,-115.1369385
2,36.1013771,-115.137406
2,36.1062211,-115.1367764
3,36.115417,-115.2003327
3,36.1104125,-115.2067011
3,36.1013415,-115.2264336
2,36.1808271,-115.3154314
3,36.147371,-115.155365
3,36.1429966,-115.2761063
2,36.2355258,-115.0570461
2,36.2410955113,-115.080203358
3,36.159147,-115.153733
2,36.122917,-115.168527
2,36.1094942795,-115.174048043
3,36.1167966,-115.1773341
3,36.1179352,-115.1748371
3,36.1277253,-115.1744147
2,36.1109496171,-115.172558321
3,36.1099345,-115.1754157
2,36.1067305,-115.1719754
2,36.126655042,-115.169354327
2,36.1093993886,-115.169808284
1,36.2777739,-115.2883157
3,36.1606428,-115.320685
3,36.167526,-115.138435
3,36.2972729,-115.277068
3,36.1047801463,-115.17492681
3,36.071367,-115.193698
3,36.0793869,-115.211716
3,36.0765176,-115.1533426
3,36.1002598,-115.1251555
3,36.100414,-115.1265829
2,36.071911773,-115.114002787
2,36.1474616,-115.154019
3,36.1236399095,-115.273750126
2,36.1005561,-115.304891
2,36.1118694261,-115.297839765
3,36.1182771,-115.2097984
3,36.114539,-115.195684
2,36.2387598,-115.2241644
1,36.0368025618,-115.17177907
2,36.1956821,-115.2518044
2,36.127754,-115.224318
3,36.0612353,-115.2896852
3,36.1507583,-115.205577
1,36.1297376,-115.2042872
3,36.1450448,-115.2048958
3,36.159543,-115.196056
